Date,Snow Water Equivalent (in) Start of Day Values
1990-11-21,1.0000000000000002
1991-05-16,1.3999999999999986
1992-02-08,0.8999999999999986
1992-02-23,0.9000000000000004
1992-03-05,1.799999999999999
1992-11-03,0.9
1993-02-21,1.0
1993-04-19,1.0
1993-11-13,1.0
1993-11-23,1.5999999999999996
1994-02-09,0.8999999999999986
1994-04-26,0.9000000000000021
1994-11-13,1.0000000000000002
1995-03-13,1.1999999999999993
1995-03-20,0.9000000000000021
1995-04-18,0.8000000000000007
1995-05-08,1.0999999999999979
1995-05-09,2.5
1995-05-12,1.8000000000000007
1995-05-15,1.1999999999999993
1995-10-23,0.9
1995-12-31,1.0000000000000009
1996-01-05,1.0999999999999996
1996-04-14,1.4000000000000021
1996-04-20,0.8000000000000007
1996-10-27,0.9000000000000001
1996-10-30,1.2000000000000002
1996-11-06,0.8999999999999999
1996-12-02,0.8999999999999995
1996-12-06,0.8999999999999995
1996-12-23,0.9000000000000004
1997-01-04,1.1999999999999993
1997-05-02,1.1000000000000014
1997-05-27,1.0
1997-10-25,0.9999999999999999
1998-01-18,0.8000000000000007
1998-03-07,0.8000000000000007
1998-10-29,0.9
1998-11-09,0.7999999999999998
1998-11-30,1.0
1999-02-06,1.1999999999999993
1999-04-09,0.8000000000000007
2000-02-13,1.5999999999999996
2000-04-20,0.9000000000000004
2000-05-18,1.6
2000-09-23,0.9
2000-11-01,1.0
2001-04-07,0.8000000000000007
2001-05-04,1.0
2002-03-14,1.0
2002-12-17,1.6
2003-02-03,0.8999999999999986
2003-03-05,1.0
2003-03-18,1.299999999999999
2003-03-19,2.1000000000000014
2003-04-24,1.6000000000000014
2003-11-04,0.9999999999999998
2003-12-28,0.8000000000000007
2004-10-23,0.8
2004-10-30,0.8999999999999999
2004-11-26,1.0
2005-01-10,0.9000000000000004
2005-01-11,1.700000000000001
2005-04-29,1.0
2006-03-09,1.5
2006-03-27,0.8999999999999986
2006-10-18,1.4
2006-10-21,1.2
2007-01-05,1.0
2007-02-20,0.8000000000000007
2007-03-29,1.5000000000000018
2007-12-01,0.8000000000000003
2007-12-02,0.8999999999999995
2007-12-08,0.8000000000000007
2008-03-31,1.2000000000000028
2008-04-11,1.1999999999999993
2008-12-23,1.0
2008-12-27,0.7999999999999998
2009-01-24,1.0999999999999996
2009-01-25,0.8000000000000007
2009-01-26,1.1999999999999993
2009-02-18,1.3999999999999986
2009-03-24,1.0999999999999979
2009-03-26,0.8999999999999986
2009-03-27,1.0
2009-04-01,0.8999999999999986
2009-04-04,0.8999999999999986
2009-04-10,2.0
2009-04-17,1.0
2009-04-27,0.8999999999999986
2009-10-29,1.2000000000000002
2009-11-13,1.1
2009-12-14,1.0
2010-03-24,1.8000000000000007
2010-04-01,0.8000000000000007
2010-04-02,1.0
2010-04-07,2.1999999999999993
2010-05-20,1.3000000000000007
2010-11-17,0.9000000000000001
2010-11-22,1.1999999999999997
2010-12-05,0.7999999999999998
2010-12-20,0.9000000000000004
2010-12-21,1.0
2010-12-30,0.9000000000000004
2011-01-20,0.9000000000000004
2011-04-11,1.0
2011-04-19,1.3000000000000007
2011-05-22,1.0
2011-10-09,0.8
2011-11-02,1.0
2011-11-14,1.1
2012-11-11,1.1
2012-12-16,0.7999999999999998
2013-10-11,0.9
2013-10-12,0.7999999999999999
2013-11-17,0.8000000000000003
2013-12-04,0.7999999999999998
2014-03-12,0.8000000000000007
2014-03-31,0.9000000000000021
2014-04-02,0.9000000000000021
2014-05-11,0.9000000000000004
2014-05-12,2.9000000000000004
2015-03-03,1.4000000000000004
2015-04-03,0.9000000000000004
2015-04-09,0.8000000000000003
2015-04-19,1.4
2015-11-11,1.0999999999999999
2016-01-17,0.8000000000000007
2016-03-08,0.8000000000000007
2016-04-18,1.0
2016-04-25,1.5999999999999979
2016-05-09,2.0
2016-05-10,1.0
2016-11-28,1.0999999999999999
2016-12-17,0.7999999999999998
2017-01-03,0.7999999999999998
2017-01-05,1.0
2017-01-12,1.4000000000000004
2017-02-28,0.8999999999999986
2017-04-27,0.8000000000000007
2017-05-19,0.9
2017-11-18,1.2999999999999998
2018-11-25,0.7999999999999998
2019-01-07,0.7999999999999998
2019-01-17,0.8000000000000007
2019-03-14,1.3999999999999986
2019-04-30,1.0
2019-05-01,1.299999999999999
2019-05-09,0.9000000000000004
2019-05-29,1.0999999999999996
2019-11-30,0.9000000000000004
2019-12-01,0.7999999999999998
2019-12-13,0.7999999999999998
2020-01-02,1.1999999999999993
2020-04-16,0.8000000000000007
